"Data Source","World Development Indicators",

"Last Updated Date","2022-02-15",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Hong Kong SAR, China","HKG","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","37691","33933","33222","28111","21832","15687","11387","11764","10503","1552","2640","3026","3544","5372","8351","","","","","","","","","","11654","13401","","","","","","","","","","","","","","","","","","","","","","","","",
"Honduras","HND","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","75102","75998","","47506","41745","38691","","37593","","","","","56938","","53747","","","","","","","70949","","","51596","45964","74736","55027","90573","71440","79268","71625","71861","91963","109704","115585","117216","108883","99997","","83414","87810",
"Heavily indebted poor countries (HIPC)","HPC","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","12674413","12814882","13014721","12879647","12761697","12664584","12676625","12727576","12629345","12619646","13132854","13284491","13679307","14091448","14385294","15086616","15489512","16309961","17151632","17168528","18016520","18628546","18859004","19000692","19533130","18983030","19366830","19668688","19397056","18830404","17834776","17024456","16189517","15484008","14597048","13997267","12670892","12769053","13055837","12672402","12254026","12084659","12011016","12549431","12398420","12561527","12886161","12514897","",
"Croatia","HRV","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17909","8100","6445","2775","","","","","","","1234","7463","3419","1320","","","","","","","","","",
"Haiti","HTI","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","","","262652","248224","233104","255840","244516","240128","287753","","","","","","","","","","274850","","","","","","","","","","","","","","","","","","","","","","","",
"Hungary","HUN","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","55106","33591","4573","4387","7518","5664","4580","7357","7800","6250","4630","6210","4002","2644","2814","4236","5242","5930","5612","5384","4349","5183","8558","10567","",
"IBRD only","IBD","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","47262584","48953876","48640624","44239416","43269056","41387760","41506500","44272892","50360432","51429196","49962860","47939996","46842468","45623604","43810416","39873440","35392024","33402376","31637160","28862560","28561644","28567056","29492928","28930180","28791920","30386200","30246358","31061016","28665892","24407200","22256476","20791268","19566412","13954715","12618873","11235678","10375242","7803427","6633685","6755053","6329004","6520923","6450885","6122469","8203421","8209951","8505442","8308404","8651442","8746114","",
"IDA & IBRD total","IBT","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","73252064","75954728","75392776","70411776","69717648","67406000","67416008","70020832","76099104","76646648","74838464","72376240","71557168","70786224","69561992","66727136","63540828","62717352","61024352","59285232","59989912","60033712","61537964","61510832","61783012","64114680","65311000","65457736","63171504","58974208","55665892","53388080","51016756","43611988","40643700","38051864","36746688","32823358","31414648","31179716","30882938","30368332","30070984","29517842","31631904","32927654","32864040","33025608","32951296","33237596","",
"IDA total","IDA","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","26752624","26172988","26450448","26020816","25911806","25749624","25739388","25217548","24875836","24436772","24716128","25163628","25751876","26854032","28150252","29316370","29389280","30424388","31431002","31471080","32055432","32599886","33010984","33743000","35075060","34410868","34515768","34575280","33414796","32601648","31457252","29672614","28032720","26825170","26373856","25020868","24781280","24424966","24554752","23848448","23621896","23400884","23433744","24721388","24359696","24718196","24300944","24492862","",
"IDA blend","IDB","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11676130","11454792","11114336","11007655","11275703","10644759","9974425","9675616","10290152","9667889","10524553","10254075","10260562","10262386","10352870","10128997","10108381","10875487","10677443","10858518","10271194","10724398","",
"Indonesia","IDN","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","3159282","3143562","","3563307","3161883","2910305","","2075334","","","1664882","","","","","","428882","","482930","681490","797785","942065","1093031","1053103","1097050","1153082","1155963","","","","587215","643984","760439","869358","1075765","907992","643154","643027","568157","328856","169749","493411","801403","1010434","","1170613","973920","1073003","","",
"IDA only","IDX","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","18358358","19267960","18965760","18322908","18735878","18155202","17860816","17921904","17934104","17901422","17667408","17566876","18173500","18549388","18788408","19412352","19806312","20538036","20011806","20607424","21443308","21234316","21751448","22331114","22430712","22633936","22976328","22514986","22829484","23112216","22295078","21589156","20174642","19012516","18050402","17140572","16081293","15352043","14256412","14170589","14293373","13585022","13267230","13266376","13320103","13842216","13681155","13858687","14028661","13767085","",
"Isle of Man","IMN","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"India","IND","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","18205184","","","","","","","","","","","","","","","","","","","17528824","","","","","","","","","","13084129","12716535","12555727","7100914","","","","2020305","1189120","1660706","1504393","1541334","1250998","862219","","","","","","","2437635",
"Not classified","INX","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Ireland","IRL","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","2727","4454","4053","6157","6290","6581","7003","6957","8487","10909","14701","19388","22843","","","25244","23920","21911","20539","19475","20816","22651","22990","22229","20873","18450","","","213","","17","","","","","","","","","","","","","","","","","","","",
"Iran, Islamic Rep.","IRN","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","","","","","","736379","736459","720725","743917","723763","719636","537343","","372651","","","","","477932","","693141","620341","","190596","205984","138986","194384","169956","147115","","72094","99884","97115","66580","","","","","","","","",
"Iraq","IRQ","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","492100","507398","518645","527650","530232","490797","474690","455250","214631","139800","133482","","192639","","235863","230935","216621","192736","233502","","","","398242","","","474120","","","296418","320777","","","","266535","","","284761","","","","","","","","","","","","","",
"Iceland","ISL","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","388","","226","165","117","","","","","418","707","672","476","225","57","","60","149","227","322","331","206","83","","","","",
"Israel","ISR","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Italy","ITA","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","18496","","","9923","","","","","","15299","","","","","","","","","","","29635","12533","","","","","","","","","","","","","","","","3212","13312","21264","29659","37168","45651","49814","",
"Jamaica","JAM","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","6826","11563","10082","","3304","2645","3959","","1702","3735","5203","4893","4042","7971","1929","3830","6570","","13938","","","","","","14148","11828","11778","12430","14397","11484","15112","","","","","","","","","","","","","","","",
"Jordan","JOR","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","27917","20826","","","","","9598","9555","17604","21362","23300","28499","29868","25803","","","","","","","","","","","","","","31837","29180","","23513","18333","16507","22221","28915","41729","57265","","97823","116596","140392","149467","","","156042","137657","135554","133650","142039",
"Japan","JPN","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","18352","40990","68172","153285","104058","62522","44186","71432","62228","","28239","82254","99046","84294","28611","","","","","","21489","34814","","10095","","","","68306","76774","","","","","","","","","","","","","","","","","50737","68450","74497","","",
"Kazakhstan","KAZ","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","28115","","353","","","","2202","5132","","","","","","","","","","","","","68160",
"Kenya","KEN","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1020381","937803","742355","916519","489850","560930","562811","611684","335695","451635","397818","","","620422","","","","","","","","",
"Kyrgyz Republic","KGZ","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21933","","","13247","15365","14100","14347","14226","2398","8286","5899","7648","8496","9152","8074","8273","3743","","","","","","","","",
"Cambodia","KHM","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","241608","221778","191402","126038","","","","","","55951","57223","65546","","66232","","","","51484","28714","65975","90079","91265","92811","111065",
"Kiribati","KIR","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","","","","","","","59","80","297","","99","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"St. Kitts and Nevis","KNA","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","","","","","","","670","466","","","","","","","","","","","","","","","","","","","","","","166","","","","","","","","","","","","",
"Korea, Rep.","KOR","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","156893","102598","119339","124407","104931","76089","94383","81412","35977","","","","","16256","27303","33832","6980","","","","","","","","","","","","","1629","28933","38019","26201","29175","","","","","3745","","","24441","58717","52945","18519","35711","32711","12519","","",
"Kuwait","KWT","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","18196","17382","17248","18612","19425","19430","17417","14692","16572","16025","15397","14660","12448","11661","12162","13100","18044","20298","","","","51841","","25542","","9999","10758","","5674","5212","2833","825","","","4652","","","","","","","","","","","1146","","","","",
"Latin America & Caribbean (excluding high income)","LAC","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","2986598","3004036","2975631","2869519","2770169","2774790","2682047","2516928","2435832","2099610","2040649","1821012","1806561","1814677","1859677","1781773","1866642","1843953","1936395","2170050","2068234","2039269","1948559","1933649","2124755","2163736","1991351","1916357","1261039","859237","795751","880412","784926","963019","938064","600786","531094","499708","551902","512642","599510","816476","712435","689232","731188","690840","672269","610831","567382","527774","",
"Lao PDR","LAO","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","138251","129421","122859","","121507","115905","107653","107027","106309","109797","107159","97508","92382","85569","78642","66927","55770","44641","27246","25916","25826","18398","16658","21968","26229","30978","35174","35058","33973",
"Lebanon","LBN","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Liberia","LBR","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","115563","","","","","","","","","160123","","","","","","26071","","","77218","","","",
"Libya","LBY","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","61692","47004","","","","","","24830","","","17178","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"St. Lucia","LCA","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","","","352","263","","","","","","","","476","","","","","","","","","","1259","1268","","","737","877","634","679","","","","","","","","","163","48","18","","44",
"Latin America & Caribbean","LCN","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","3232051","3254173","3225989","3122753","3047393","3048359","2926590","2752372","2661900","2326693","2258609","1998827","1985278","2008025","2087775","1999257","2096494","2092674","2195445","2420603","2292576","2216640","2119361","2116469","2343574","2418376","2282668","2466904","1512671","1107134","1010446","1069604","929436","1141774","1071222","740519","663591","600461","682407","625751","687734","915756","837570","834036","875252","838608","849813","807206","753691","705753","",
"Least developed countries: UN classification","LDC","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","17532434","18427292","18095372","17459248","17838936","17217928","16925188","16971670","16953274","16926414","16698626","16655657","17308454","17674410","17886646","18554540","18885536","19625312","19065270","19659544","20453936","20324624","20870068","21363628","21513064","21672228","21972534","21513372","21864084","22143624","21414484","20693372","19344018","18152246","17184400","16233834","15166996","14606408","13533431","13442353","13729749","13243228","13015392","12859842","12917836","13667275","13755828","14037650","14314612","14193119","",
"Low income","LIC","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","10437611","10513104","10652165","10629662","10632542","10563714","10766337","10866787","10757801","10723632","11178167","11289724","11480796","11792358","11957809","12482458","12714353","13398543","14086504","14053133","14756663","15230084","15379007","15445960","15905541","15468886","15799961","16026968","15944148","15653777","15185502","14604732","14006215","13392721","12775451","12399502","11314836","11308150","11731716","11363078","11145049","11081717","11148989","11782218","11787327","11959100","12049727","11904591","",
"Liechtenstein","LIE","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17","","","","","","",
"Sri Lanka","LKA","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2259","","22451","28912","33159","41589","62725","51271","52086","50130","39053","30287","","","","","","",
"Lower middle income","LMC","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","42356536","43591424","42948080","41655164","42628184","41338348","41023584","39776616","40881748","41212068","40171032","39368836","38101268","37616616","37464044","38408080","38569772","40448672","39632240","38516476","39535772","39827248","40089700","38907200","37726588","38623772","38487208","38437532","38822064","37511744","34690100","33108240","31964380","25531080","23241744","21608520","20395310","17574820","17173684","16988880","16086361","15684134","15566955","15273540","17421854","18194548","18035768","17989240","17787446","18118342","",
"Low & middle income","LMY","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","73002608","75704632","75165536","70190792","69471136","67141984","67168712","69775432","75857120","76416112","74635288","72235920","71442096","70655120","69398192","66580588","63375328","62521504","60817708","59059400","59766396","59853948","61348364","61329696","61552032","63822112","64978720","64894452","62926884","58724796","55447268","53200832","50864584","43422456","40494388","37899120","36608912","32721932","31285286","31059218","30801716","30290442","29978992","29419584","31562980","32870000","32783482","32929832","32871866","33171472","",
"Lesotho","LSO","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","28506","","34049","35234","26686","","27861","27673","38301","37903","39971","42171","38255","40949","41195","39532","42211","41995","42593","45830","49137","48402","49637","55253","54977","59220","58189","","73738","80023","42140","38186","33089","27460","26719","22969","18968","22061","18909","17451","15100","15380","14832","12897","12767","10829","7097","3109","","","",
"Late-demographic dividend","LTE","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","11876049","8574832","7469143","6523428","5864526","5934659","6196517","6667880","7615158","8688701","9468293","10139704","7490042","4724378","4329876","4055146","3560963","3277862","3186400","2822785","3273660","2528976","2345691","2259898","2356412","2514647","2327443","2119398","2074274","1995100","2007205","1970581","1788451","1912463","",
"Lithuania","LTU","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4175","","","","","155","","","","","","","","","","","","","","","","","",
"Luxembourg","LUX","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","1260","1393","1143","1280","1315","1276","1330","","","2823","1931","2095","2172","","2110","2477","1683","","","","","","","","","","","149","281","373","356","643","529","225","130","127","241","","611","671","571","516","495","175","","","","","",
"Latvia","LVA","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","449","429","391","712","893","921","982","814","667","401","472","",
"Macao SAR, China","MAC","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1315","","2618","","","","","","","2077","2322","2838","2794","2670","2579","2416","2225","1970","1900","1906","1814","1614","1430","1229","828","538","255","309","456","245","726",
"St. Martin (French part)","MAF","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Morocco","MAR","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","887338","857051","834895","808572","788090","763826","734521","728964","704985","686360","711003","743930","778112","810853","851104","852260","1033568","1037874","1010199","960436","900367","842301","795075","765224","579272","489457","418192","342534","302792","298839","274579","242617","206496","190771","192446","131216","109009","118850","93749","104023","","81149","46615","","","",
"Monaco","MCO","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Moldova","MDA","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Madagascar","MDG","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","208068","","","","","","","","","","","","","","","","","279051","293512","","","","","392373","408512","","","365765","358081","356457","363907","263263","","","","","","","","","","","","","","","","","",
"Maldives","MDV","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1363","","731","475","","30","","","","","","","","","","","","","","418","710","397","174","",
"Middle East & North Africa","MEA","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","5789387","5972647","5614526","5579383","5613717","5331487","5133172","5023864","4961254","5243351","4919835","5105046","4972749","4955480","4868380","4883899","4814078","4756588","4691975","4811431","4419425","4377824","5086311","5066754","4662230","5036620","4488382","4523420","4483387","4256619","3919689","3404543","2898083","2639586","2453218","2477515","2476253","2110911","1931032","1750228","1472952","1432651","1282478","1491759","1591863","1558136","1578084","1551743","1521714","1534877","",
"Mexico","MEX","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","876504","","","","","","","","","","","","","","","","","","","","","","","","","","280750","238331","","","","","","","","","","","","","","","","","","","","","","",
"Marshall Islands","MHL","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","324","","","","1115","1036","","","1189","1329",
"Middle income","MIC","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","63017440","65526256","64727928","59677684","58818972","56512324","56536172","59211716","65090784","65549328","63877488","61512288","60263932","59365392","57917400","54788228","51417520","50039044","48103352","45660856","45679892","45800816","46591700","46099616","46173028","48376152","49073176","49425568","47126924","42697828","39503120","37547052","35679080","28817724","26488172","24506400","23833464","20322430","19970450","19751068","19070000","18927364","18833944","18337866","20413992","21087784","20996156","20970732","20822140","21266880","",
"North Macedonia","MKD","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6434","6531","2027","2695","2924","3835","3671","3690","4702","4363","5749","4862","2744","","5468","5712","5005","2927","","403","428","","",
"Mali","MLI","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","374392","","","","","","","","","","","","","","","","","","","","","","","","","","","","531695","","","504973","521502","516231","502458","498932","489999","","445219","444728","444190","485689","","563751","624734","632084","566837","711827","","",
"Malta","MLT","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","3282","3533","3587","3211","2676","1885","1004","659","497","912","1244","1031","1536","1268","691","651","847","795","678","603","695","801","785","949","862","386","141","","","","","","","","","","","","","","","","","","","","","","","",
"Myanmar","MMR","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","819031","","742266","908979","","","","870687","","","","","","","","","","","","","","","","","","","","","","280210","249973","287858","242725","280749","281539","303115","141530","271761","309155","300852","","","","","","","","","","",
"Middle East & North Africa (excluding high income)","MNA","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","5385764","5551054","5182354","5132283","5147656","4848778","4633296","4507541","4424834","4677816","4340278","4504866","4358067","4326745","4230797","4236775","4166001","4096586","4019933","4124218","3718905","3649261","4351962","4346589","3961063","4362501","3849255","3916119","3917100","3719846","3408646","2922601","2447549","2217946","2067713","2126316","2176108","1869137","1736904","1599266","1413053","1375276","1267417","1437703","1533634","1539634","1531213","1481990","1437870","","",
"Montenegro","MNE","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","302","","196","181","503","531","","","","237","","","713","1180","507","","","",
"Mongolia","MNG","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16426","13844","17342","12692","10848","7834","5545","6812","15079","7656","8772","2248","805","","","","","1748","5395","5446","4024","","","","","",
"Northern Mariana Islands","MNP","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Mozambique","MOZ","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","502342","","","","","","407307","","436383","450772","370784","","362163","376175","501959","","558603","","590638","618971","648504","655153","645093","","","904565","864927","820531","765855","840950","","649157","565905","501632","412209","350538","328009","309634","366644","370938","351530","336489","305669","313674","335103","219096","110861","",
"Mauritania","MRT","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","106037","97440","91507","","84898","85886","86316","80374","80232","73532","57435","60700","56098","54204","63333","67539","67901","66863","70409","66444","61871","","75256","61573","60060","70645","",
"Mauritius","MUS","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","16974","16423","15710","14638","14305","11905","13408","15285","14806","12073","7979","5781","3358","","842","","","","1332","3993","","3883","3424","2872","1710","1207","","","","","","","692","81","","","","113","","","1789","491","","","","","","","",
"Malawi","MWI","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","26603","","","","","","","","","","","","","",
"Malaysia","MYS","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","158131","153783","146328","","","","","","","","","","","","","","","","","","","","","","34368","","","","65224","55164","22149","32291","51873","44547","8637","4462","50760","62555","75684","42115","56973","37066","16774","","2807","","","","","17732","",
"North America","NAC","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","","","","","","","746698","597302","418630","320628","230868","128055","137849","248273","386338","428342","364377","471187","390640","307301","245729","293194","313231","328917","270683","219940","70138","24488","57419","81498","138025","191688","256254","307943","383932","213026","236738","52688","60551","79336","105462","",
"Namibia","NAM","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","27052","27593","","25689","","","","","","18794","17239","14648","11687","7760","7427","11468","11208","17036","11555","12767","11604","10189","","4258","","","","","","","","",
"New Caledonia","NCL","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Niger","NER","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","363673","372911","","","","","","","","","","","","465705","","","518597","534489","546566","574537","","","","","644701","660532","670081","687293","685094","685536","682634","683994","709544","724546","741066","727953","713837","693060","657520","657312","687960","711780","718427","728586","701725","","886775","",
"Nigeria","NGA","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3985312","3789342","","","","3864750","3896022","3878533","4075093","4874836","4871064","4969385","","","","","","","","","","",
"Nicaragua","NIC","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","94734","","97936","","","","","","","93979","","104939","106555","115886","102052","108826","107028","108256","118093","114555","109061","96669","95566","92943","99192","","","","65210","53066","38484","12688","","","","5408","5961","3218","","8956","","","","","","","","","","",
"Netherlands","NLD","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","43899","49457","53432","59471","60336","52773","48884","44418","38872","36800","39038","50200","60032","65543","66310","35382","23855","14685","11156","11434","15368","22923","24179","6494","5191","4795","3353","","","","","","","","","","","","","","","","","","","","2934","","","",
"Norway","NOR","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","19","","1381","1809","","2707","3087","","4325","6111","6055","4509","3787","2072","325","","444","1739","2345","2871","2685","29921","","","","","","229","1186","2839","2269","1794","996","1204","1343","793","","","250","","","","","","",
"Nepal","NPL","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","","","","","661666","660402","","","","663539","","","","","","","","","","","653202","556681","","","434279","427047","","","","","","","","","","","","","","","","",
"Nauru","NRU","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","101","","","","","","","","22",
"New Zealand","NZL","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","979","1553","","","","","","","","","3272","","","","","","","","1780","4065","","4556","2263","1893","","","","","","","","","","","","","","","","","2129","3204","2730","1055","","","","",
"OECD members","OED","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","4820582","4832934","4808637","4584558","4654831","4552861","4221541","4034782","3901970","3490721","2610153","2553909","2378540","2516013","2432026","2440858","2192691","1921540","1767595","1834814","1509281","1562784","1679498","1969016","2152679","2082886","2054088","2098043","1285985","941442","956920","1075299","1170679","1081490","917251","586605","495317","487886","499003","651200","680179","782527","921058","1004109","816492","703384","537762","520830","513544","493379","",
"Oman","OMN","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","61649","60922","59568","60189","","60453","60111","","60453","60622","59272","56021","54510","47407","49023","51897","52663","52411","51522","50543","44715","42414","40803","37534","34875","30171","27392","25815","23578","25209","28907","","","","","","","","457","","","","","","","","","",
"Other small states","OSS","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","291117","303487","301263","295063","281668","263411","252518","250137","262524","268395","266585","260305","254009","257049","253955","249559","263054","272773","286165","304840","330914","340483","357299","364274","354385","363616","360539","361738","359507","363519","324745","303719","292724","281693","279574","270722","254382","250283","246815","242637","230804","221208","217539","220696","219738","213832","213486","206926","209401","202883","",
"Pakistan","PAK","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Panama","PAN","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","31981","22241","19471","17289","","16000","16295","","13988","16057","18436","20786","22638","24944","25730","24743","25722","24064","25195","22510","22451","","","","","","","","","11736","9051","6590","3143","","","3518","2028","","4641","9424","8101","9111","10680","14035","18504","22074","","29381","","","22976",
"Peru","PER","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","317992","","","","","","","","","","","198126","","","","","","","","","","","","173556","","268782","","","52243","24811","8201","","","26451","","","","","","12125","","3222","","","","","","","","","",
"Philippines","PHL","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","","","272987","217303","288537","461472","","253420","285502","139068","75438","107279","","","","","","","","537932","599451","","485010","438620","506315","541375","512630","612099","601184","524589","397173","","","","","107444","148709","197113","215049","263849","221332","",
